# Radiation correction v2.3. Params: lat=41.4534, lon=1.9437, utc_time=2021-07-13 18:25
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
2260, 765.09, 6.64, 85.6, 5.71, 10.3
2280, 763.24, 6.48, 86.7, 5.88, 10.0
2300, 761.39, 6.27, 87.8, 6.08, 11.3
2320, 759.55, 6.13, 88.4, 6.20, 11.4
2340, 757.71, 5.91, 89.2, 6.27, 10.5
2360, 755.87, 5.69, 89.7, 6.26, 8.1
2380, 754.04, 5.51, 90.1, 6.35, 5.8
2400, 752.21, 5.24, 90.8, 6.14, 4.9
2420, 750.38, 5.12, 91.7, 5.68, 0.2
2440, 748.55, 5.01, 92.4, 5.78, 1.6
2460, 746.73, 4.90, 93.1, 6.01, 4.9
2480, 744.91, 4.78, 93.4, 6.16, 6.3
2500, 743.10, 4.66, 93.6, 6.41, 6.7
2520, 741.29, 4.49, 93.8, 6.57, 7.1
2540, 739.48, 4.33, 94.1, 6.71, 7.3
2560, 737.68, 4.20, 94.3, 6.79, 7.2
2580, 735.88, 4.01, 94.5, 6.90, 6.8
2600, 734.08, 3.85, 94.6, 6.94, 6.5
2620, 732.29, 3.73, 94.9, 7.05, 6.2
2640, 730.50, 3.62, 95.1, 7.19, 4.5
2660, 728.71, 3.55, 95.2, 7.21, 358.5
2680, 726.93, 3.40, 95.3, 7.22, 347.2
2700, 725.15, 3.27, 95.4, 7.20, 340.1
2720, 723.38, 3.14, 95.6, 7.18, 342.1
2740, 721.60, 2.97, 95.8, 7.20, 341.8
2760, 719.84, 2.89, 95.9, 7.40, 341.6
2780, 718.07, 2.82, 96.1, 7.34, 342.8
2800, 716.31, 2.71, 96.3, 7.18, 343.1
2820, 714.55, 2.66, 96.5, 6.99, 345.1
2840, 712.80, 2.56, 96.6, 6.78, 333.8
2860, 711.05, 2.45, 96.6, 6.55, 324.7
2880, 709.30, 2.38, 96.7, 6.23, 322.9
2900, 707.56, 2.24, 96.6, 5.75, 320.2
2920, 705.81, 1.81, 96.2, 5.16, 316.6
2940, 704.07, 1.28, 95.6, 4.29, 314.3
2960, 702.34, 0.98, 95.4, 4.10, 317.3
2980, 700.60, 0.83, 95.6, 4.47, 325.5
3000, 698.87, 0.68, 95.8, 4.86, 333.7
3020, 697.14, 0.53, 95.9, 5.25, 341.8
3040, 695.42, 0.39, 96.1, 5.63, 350.0
3060, 693.70, 0.27, 96.2, 5.96, 356.2
3080, 691.98, 0.27, 96.4, 6.14, 357.6
3100, 690.27, 0.28, 96.7, 6.23, 357.4
3120, 688.56, 0.30, 96.9, 6.28, 356.3
3140, 686.85, 0.30, 97.2, 6.41, 354.7
3160, 685.15, 0.30, 97.3, 6.74, 353.2
3180, 683.46, 0.27, 97.4, 7.09, 355.5
3200, 681.77, 0.25, 97.4, 7.56, 359.4
3220, 680.09, 0.22, 97.4, 7.93, 2.1
3240, 678.41, 0.20, 97.3, 8.00, 0.7
3260, 676.73, 0.22, 97.3, 7.84, 359.6
3280, 675.06, 0.27, 97.2, 7.97, 357.6
3300, 673.40, 0.74, 95.8, 8.47, 350.2
3320, 671.73, 1.28, 94.2, 9.05, 341.5
3340, 670.08, 1.35, 89.9, 9.53, 339.7
3360, 668.42, 1.42, 86.0, 10.27, 338.9
3380, 666.78, 1.60, 80.1, 10.91, 335.0
3400, 665.14, 1.83, 76.7, 11.76, 330.4
3420, 663.50, 1.78, 75.2, 12.05, 331.4
3440, 661.86, 1.65, 74.0, 11.92, 335.8
3460, 660.23, 0.99, 73.7, 11.77, 336.2
